,Time [s],Channel 1,Channel 2,Channel 3,Channel 4
0,0.00,0.00,0.00,0.00,0.00
1,0.03,0.00,0.00,0.00,0.00
2,0.07,0.00,0.00,0.00,0.00
3,0.10,0.00,0.00,0.00,0.00
4,0.13,0.00,0.00,0.00,0.00
5,0.17,0.00,0.00,0.00,0.00
6,0.20,0.00,0.00,0.00,0.00
7,0.23,0.00,0.00,0.00,0.00
8,0.27,0.00,0.00,0.00,0.00
9,0.30,0.00,0.00,0.00,0.00
10,0.33,0.00,0.00,0.00,0.00
11,0.37,0.00,0.00,0.00,0.00
12,0.40,0.00,0.00,0.00,0.00
13,0.43,0.00,0.00,0.00,0.00
14,0.47,0.00,0.00,0.00,0.00
15,0.50,0.00,0.00,0.00,0.00
16,0.53,0.00,0.00,0.00,0.00
17,0.57,0.00,0.00,0.00,0.00
18,0.60,0.00,0.00,0.00,0.00
19,0.63,0.00,0.00,0.00,0.00
20,0.67,0.00,0.00,0.00,0.00
21,0.70,0.00,0.00,0.00,0.00
22,0.73,0.00,0.00,0.00,0.00
23,0.77,0.00,0.00,0.00,0.00
24,0.80,0.00,0.00,0.00,0.00
25,0.83,0.00,0.00,0.00,0.00
26,0.87,0.00,0.00,0.00,0.00
27,0.90,0.00,0.00,0.00,0.00
28,0.93,0.00,0.00,0.00,0.00
29,0.97,0.00,0.00,0.00,0.00
30,1.00,0.00,0.00,0.00,0.00
31,1.03,0.00,0.00,0.00,0.00
32,1.07,0.00,0.00,0.00,0.00
33,1.10,0.00,0.00,0.00,0.00
34,1.13,0.00,0.00,0.00,0.00
35,1.17,0.00,0.00,0.00,0.00
36,1.20,0.00,0.00,0.00,0.00
37,1.23,0.00,0.00,0.00,0.00
38,1.27,0.00,0.00,0.00,0.00
39,1.30,0.00,0.00,0.00,0.00
40,1.33,0.00,0.00,0.00,0.00
41,1.37,0.00,0.00,0.00,0.00
42,1.40,0.00,0.00,0.00,0.00
43,1.43,0.00,0.00,0.00,0.00
44,1.47,0.00,0.00,0.00,0.00
45,1.50,0.00,0.00,0.00,0.00
46,1.53,0.00,0.00,0.00,0.00
