,Time [s],Channel 1,Channel 2,Channel 3,Channel 4
0,0.00,0.00,0.00,0.00,0.00
1,0.02,0.00,0.00,0.00,0.00
2,0.04,0.00,0.00,0.00,0.00
3,0.06,0.00,0.00,0.00,0.00
4,0.08,0.00,0.00,0.00,0.00
5,0.10,0.00,0.00,0.00,0.00
6,0.12,0.00,0.00,0.00,0.00
7,0.14,0.00,0.00,0.00,0.00
8,0.16,0.00,0.00,0.00,0.00
9,0.18,0.00,0.00,0.00,0.00
10,0.20,0.00,0.00,0.00,0.00
11,0.22,0.00,0.00,0.00,0.00
12,0.24,0.00,0.00,0.00,0.00
13,0.26,0.00,0.00,0.00,0.00
14,0.28,0.00,0.00,0.00,0.00
15,0.30,0.00,0.00,0.00,0.00
16,0.32,0.00,0.00,0.00,0.00
17,0.34,0.00,0.00,0.00,0.00
18,0.36,0.00,0.00,0.00,0.00
19,0.38,0.00,0.00,0.00,0.00
20,0.40,0.00,0.00,0.00,0.00
21,0.42,0.00,0.00,0.00,0.00
22,0.44,0.00,0.00,0.00,0.00
23,0.46,0.00,0.00,0.00,0.00
24,0.48,0.00,0.00,0.00,0.00
25,0.50,0.00,0.00,0.00,0.00
26,0.52,0.00,0.00,0.00,0.00
27,0.54,0.00,0.00,0.00,0.00
28,0.56,0.00,0.00,0.00,0.00
29,0.58,0.00,0.00,0.00,0.00
30,0.60,0.00,0.00,0.00,0.00
31,0.62,0.00,0.00,0.00,0.00
32,0.64,0.00,0.00,0.00,0.00
33,0.66,0.00,0.00,0.00,0.00
34,0.68,0.00,0.00,0.00,0.00
35,0.70,0.00,0.00,0.00,0.00
36,0.72,0.00,0.00,0.00,0.00
37,0.74,0.00,0.00,0.00,0.00
38,0.76,0.00,0.00,0.00,0.00
39,0.78,0.00,0.00,0.00,0.00
40,0.80,0.00,0.00,0.00,0.00
41,0.82,0.00,0.00,0.00,0.00
42,0.84,0.00,0.00,0.00,0.00
43,0.86,0.00,0.00,0.00,0.00
44,0.88,0.00,0.00,0.00,0.00
45,0.90,0.00,0.00,0.00,0.00
46,0.92,0.00,0.00,0.00,0.00
47,0.94,0.00,0.00,0.00,0.00
48,0.96,0.00,0.00,0.00,0.00
49,0.98,0.00,0.00,0.00,0.00
50,1.00,0.00,0.00,0.00,0.00
51,1.02,0.00,0.00,0.00,0.00
52,1.04,0.00,0.00,0.00,0.00
53,1.06,0.00,0.00,0.00,0.00
54,1.08,0.00,0.00,0.00,0.00
55,1.10,0.00,0.00,0.00,0.00
56,1.12,0.00,0.00,0.00,0.00
57,1.14,0.00,0.00,0.00,0.00
58,1.16,0.00,0.00,0.00,0.00
59,1.18,0.00,0.00,0.00,0.00
60,1.20,0.00,0.00,0.00,0.00
61,1.22,0.00,0.00,0.00,0.00
62,1.24,0.00,0.00,0.00,0.00
63,1.26,0.00,0.00,0.00,0.00
64,1.28,0.00,0.00,0.00,0.00
65,1.30,0.00,0.00,0.00,0.00
66,1.32,0.00,0.00,0.00,0.00
67,1.34,0.00,0.00,0.00,0.00
68,1.36,0.00,0.00,0.00,0.00
69,1.38,0.00,0.00,0.00,0.00
70,1.40,0.00,0.00,0.00,0.00
71,1.42,0.00,0.00,0.00,0.00
72,1.44,0.00,0.00,0.00,0.00
73,1.46,0.00,0.00,0.00,0.00
74,1.48,0.00,0.00,0.00,0.00
75,1.50,0.00,0.00,0.00,0.00
76,1.52,0.00,0.00,0.00,0.00
77,1.54,0.00,0.00,0.00,0.00
78,1.56,0.00,0.00,0.00,0.00
79,1.58,0.00,0.00,0.00,0.00
80,1.60,0.00,0.00,0.00,0.00
81,1.62,0.00,0.00,0.00,0.00
82,1.64,0.00,0.00,0.00,0.00
83,1.66,0.00,0.00,0.00,0.00
84,1.68,0.00,0.00,0.00,0.00
85,1.70,0.00,0.00,0.00,0.00
86,1.72,0.00,0.00,0.00,0.00
87,1.74,0.00,0.00,0.00,0.00
88,1.76,0.00,0.00,0.00,0.00
89,1.78,0.00,0.00,0.00,0.00
90,1.80,0.00,0.00,0.00,0.00
91,1.82,0.00,0.00,0.00,0.00
92,1.84,0.00,0.00,0.00,0.00
93,1.86,0.00,0.00,0.00,0.00
94,1.88,0.00,0.00,0.00,0.00
95,1.90,0.00,0.00,0.00,0.00
96,1.92,0.00,0.00,0.00,0.00
97,1.94,0.00,0.00,0.00,0.00
98,1.96,0.00,0.00,0.00,0.00
99,1.98,0.00,0.00,0.00,0.00
100,2.00,0.00,0.00,0.00,0.00
101,2.02,0.00,0.00,0.00,0.00
102,2.04,0.00,0.00,0.00,0.00
103,2.06,0.00,0.00,0.00,0.00
104,2.08,0.00,0.00,0.00,0.00
105,2.10,0.00,0.00,0.00,0.00
106,2.12,0.00,0.00,0.00,0.00
107,2.14,0.00,0.00,0.00,0.00
108,2.16,0.00,0.00,0.00,0.00
109,2.18,0.00,0.00,0.00,0.00
110,2.20,0.00,0.00,0.00,0.00
111,2.22,0.00,0.00,0.00,0.00
112,2.24,0.00,0.00,0.00,0.00
113,2.26,0.00,0.00,0.00,0.00
114,2.28,0.00,0.00,0.00,0.00
115,2.30,0.00,0.00,0.00,0.00
116,2.32,0.00,0.00,0.00,0.00
117,2.34,0.00,0.00,0.00,0.00
118,2.36,0.00,0.00,0.00,0.00
119,2.38,0.00,0.00,0.00,0.00
120,2.40,0.00,0.00,0.00,0.00
121,2.42,0.00,0.00,0.00,0.00
122,2.44,0.00,0.00,0.00,0.00
123,2.46,0.00,0.00,0.00,0.00
124,2.48,0.00,0.00,0.00,0.00
125,2.50,0.00,0.00,0.00,0.00
126,2.52,0.00,0.00,0.00,0.00
127,2.54,0.00,0.00,0.00,0.00
128,2.56,0.00,0.00,0.00,0.00
129,2.58,0.00,0.00,0.00,0.00
130,2.60,0.00,0.00,0.00,0.00
131,2.62,0.00,0.00,0.00,0.00
132,2.64,0.00,0.00,0.00,0.00
133,2.66,0.00,0.00,0.00,0.00
134,2.68,0.00,0.00,0.00,0.00
135,2.70,0.00,0.00,0.00,0.00
136,2.72,0.00,0.00,0.00,0.00
137,2.74,0.00,0.00,0.00,0.00
138,2.76,0.00,0.00,0.00,0.00
139,2.78,0.00,0.00,0.00,0.00
140,2.80,0.00,0.00,0.00,0.00
141,2.82,0.00,0.00,0.00,0.00
142,2.84,0.00,0.00,0.00,0.00
143,2.86,0.00,0.00,0.00,0.00
144,2.88,0.00,0.00,0.00,0.00
145,2.90,0.00,0.00,0.00,0.00
146,2.92,0.00,0.00,0.00,0.00
147,2.94,0.00,0.00,0.00,0.00
148,2.96,0.00,0.00,0.00,0.00
149,2.98,0.00,0.00,0.00,0.00
150,3.00,0.00,0.00,0.00,0.00
151,3.02,0.00,0.00,0.00,0.00
152,3.04,0.00,0.00,0.00,0.00
153,3.06,0.00,0.00,0.00,0.00
154,3.08,0.00,0.00,0.00,0.00
155,3.10,0.00,0.00,0.00,0.00
156,3.12,0.00,0.00,0.00,0.00
157,3.14,0.00,0.00,0.00,0.00
158,3.16,0.00,0.00,0.00,0.00
159,3.18,0.00,0.00,0.00,0.00
160,3.20,0.00,0.00,0.00,0.00
161,3.22,0.00,0.00,0.00,0.00
162,3.24,0.00,0.00,0.00,0.00
163,3.26,0.00,0.00,0.00,0.00
164,3.28,0.00,0.00,0.00,0.00
165,3.30,0.00,0.00,0.00,0.00
166,3.32,0.00,0.00,0.00,0.00
167,3.34,0.00,0.00,0.00,0.00
168,3.36,0.00,0.00,0.00,0.00
169,3.38,0.00,0.00,0.00,0.00
170,3.40,0.00,0.00,0.00,0.00
171,3.42,0.00,0.00,0.00,0.00
172,3.44,0.00,0.00,0.00,0.00
173,3.46,0.00,0.00,0.00,0.00
174,3.48,0.00,0.00,0.00,0.00
175,3.50,0.00,0.00,0.00,0.00
176,3.52,0.00,0.00,0.00,0.00
177,3.54,0.00,0.00,0.00,0.00
178,3.56,0.00,0.00,0.00,0.00
179,3.58,0.00,0.00,0.00,0.00
180,3.60,0.00,0.00,0.00,0.00
181,3.62,0.00,0.00,0.00,0.00
182,3.64,0.00,0.00,0.00,0.00
183,3.66,0.00,0.00,0.00,0.00
184,3.68,0.00,0.00,0.00,0.00
185,3.70,0.00,0.00,0.00,0.00
186,3.72,0.00,0.00,0.00,0.00
187,3.74,0.00,0.00,0.00,0.00
188,3.76,0.00,0.00,0.00,0.00
189,3.78,0.00,0.00,0.00,0.00
190,3.80,0.00,0.00,0.00,0.00
191,3.82,0.00,0.00,0.00,0.00
192,3.84,0.00,0.00,0.00,0.00
193,3.86,0.00,0.00,0.00,0.00
194,3.88,0.00,0.00,0.00,0.00
195,3.90,0.00,0.00,0.00,0.00
196,3.92,0.00,0.00,0.00,0.00
197,3.94,0.00,0.00,0.00,0.00
198,3.96,0.00,0.00,0.00,0.00
199,3.98,0.00,0.00,0.00,0.00
200,4.00,0.00,0.00,0.00,0.00
201,4.02,0.00,0.00,0.00,0.00
202,4.04,0.00,0.00,0.00,0.00
203,4.06,0.00,0.00,0.00,0.00
204,4.08,0.00,0.00,0.00,0.00
205,4.10,0.00,0.00,0.00,0.00
206,4.12,0.00,0.00,0.00,0.00
207,4.14,0.00,0.00,0.00,0.00
208,4.16,0.00,0.00,0.00,0.00
209,4.18,0.00,0.00,0.00,0.00
210,4.20,0.00,0.00,0.00,0.00
211,4.22,0.00,0.00,0.00,0.00
212,4.24,0.00,0.00,0.00,0.00
213,4.26,0.00,0.00,0.00,0.00
214,4.28,0.00,0.00,0.00,0.00
215,4.30,0.00,0.00,0.00,0.00
216,4.32,0.00,0.00,0.00,0.00
217,4.34,0.00,0.00,0.00,0.00
218,4.36,0.00,0.00,0.00,0.00
219,4.38,0.00,0.00,0.00,0.00
220,4.40,0.00,0.00,0.00,0.00
221,4.42,0.00,0.00,0.00,0.00
222,4.44,0.00,0.00,0.00,0.00
223,4.46,0.00,0.00,0.00,0.00
224,4.48,0.00,0.00,0.00,0.00
225,4.50,0.00,0.00,0.00,0.00
226,4.52,0.00,0.00,0.00,0.00
227,4.54,0.00,0.00,0.00,0.00
228,4.56,0.00,0.00,0.00,0.00
229,4.58,0.00,0.00,0.00,0.00
230,4.60,0.00,0.00,0.00,0.00
231,4.62,0.00,0.00,0.00,0.00
232,4.64,0.00,0.00,0.00,0.00
233,4.66,0.00,0.00,0.00,0.00
234,4.68,0.00,0.00,0.00,0.00
235,4.70,0.00,0.00,0.00,0.00
236,4.72,0.00,0.00,0.00,0.00
237,4.74,0.00,0.00,0.00,0.00
238,4.76,0.00,0.00,0.00,0.00
239,4.78,0.00,0.00,0.00,0.00
240,4.80,0.00,0.00,0.00,0.00
241,4.82,0.00,0.00,0.00,0.00
242,4.84,0.00,0.00,0.00,0.00
243,4.86,0.00,0.00,0.00,0.00
244,4.88,0.00,0.00,0.00,0.00
245,4.90,0.00,0.00,0.00,0.00
246,4.92,0.00,0.00,0.00,0.00
247,4.94,0.00,0.00,0.00,0.00
248,4.96,0.00,0.00,0.00,0.00
249,4.98,0.00,0.00,0.00,0.00
250,5.00,0.00,0.00,0.00,0.00
251,5.02,0.00,0.00,0.00,0.00
252,5.04,0.00,0.00,0.00,0.00
