,Time [s],Channel 1,Channel 2,Channel 3,Channel 4
0,0.0,100.0,0.0,0.0,0.0
1,0.01,100.0,0.0,0.0,0.0
2,0.02,100.0,0.0,0.0,0.0
3,0.03,100.0,0.0,0.0,0.0
4,0.04,100.0,0.0,0.0,0.0
5,0.05,100.0,0.0,0.0,0.0
6,0.06,100.0,0.0,0.0,0.0
7,0.07,100.0,0.0,0.0,0.0
8,0.08,100.0,0.0,0.0,0.0
9,0.09,100.0,0.0,0.0,0.0
10,0.1,100.0,0.0,0.0,0.0
11,0.11,100.0,0.0,0.0,0.0
12,0.12,100.0,0.0,0.0,0.0
13,0.13,100.0,0.0,0.0,0.0
14,0.14,100.0,0.0,0.0,0.0
15,0.15,100.0,0.0,0.0,0.0
16,0.16,100.0,0.0,0.0,0.0
17,0.17,100.0,0.0,0.0,0.0
18,0.18,100.0,0.0,0.0,0.0
19,0.19,100.0,0.0,0.0,0.0
20,0.2,100.0,0.0,0.0,0.0
21,0.21,100.0,0.0,0.0,0.0
22,0.22,100.0,0.0,0.0,0.0
23,0.23,100.0,0.0,0.0,0.0
24,0.24,100.0,0.0,0.0,0.0
25,0.25,100.0,0.0,0.0,0.0
26,0.26,100.0,0.0,0.0,0.0
27,0.27,100.0,0.0,0.0,0.0
28,0.28,100.0,0.0,0.0,0.0
29,0.29,100.0,0.0,0.0,0.0
30,0.3,100.0,0.0,0.0,0.0
31,0.31,100.0,0.0,0.0,0.0
32,0.32,100.0,0.0,0.0,0.0
33,0.33,100.0,0.0,0.0,0.0
34,0.34,100.0,0.0,0.0,0.0
35,0.35,100.0,0.0,0.0,0.0
36,0.36,100.0,0.0,0.0,0.0
37,0.37,100.0,0.0,0.0,0.0
38,0.38,100.0,0.0,0.0,0.0
39,0.39,100.0,0.0,0.0,0.0
40,0.4,100.0,0.0,0.0,0.0
41,0.41,100.0,0.0,0.0,0.0
42,0.42,100.0,0.0,0.0,0.0
43,0.43,100.0,0.0,0.0,0.0
44,0.44,100.0,0.0,0.0,0.0
45,0.45,100.0,0.0,0.0,0.0
46,0.46,100.0,0.0,0.0,0.0
47,0.47,100.0,0.0,0.0,0.0
48,0.48,100.0,0.0,0.0,0.0
49,0.49,100.0,0.0,0.0,0.0
50,0.5,100.0,0.0,0.0,0.0
51,0.51,100.0,0.0,0.0,0.0
52,0.52,100.0,0.0,0.0,0.0
53,0.53,100.0,0.0,0.0,0.0
54,0.54,100.0,0.0,0.0,0.0
55,0.55,100.0,0.0,0.0,0.0
56,0.56,100.0,0.0,0.0,0.0
57,0.57,100.0,0.0,0.0,0.0
58,0.58,100.0,0.0,0.0,0.0
59,0.59,100.0,0.0,0.0,0.0
60,0.6,100.0,0.0,0.0,0.0
61,0.61,100.0,0.0,0.0,0.0
62,0.62,100.0,0.0,0.0,0.0
63,0.63,100.0,0.0,0.0,0.0
64,0.64,100.0,0.0,0.0,0.0
65,0.65,100.0,0.0,0.0,0.0
66,0.66,100.0,0.0,0.0,0.0
67,0.67,100.0,0.0,0.0,0.0
68,0.68,100.0,0.0,0.0,0.0
69,0.69,100.0,0.0,0.0,0.0
70,0.7,100.0,0.0,0.0,0.0
71,0.71,100.0,0.0,0.0,0.0
72,0.72,100.0,0.0,0.0,0.0
